[2024-04-07 11:22:58,723 : INFO : main : welcome to our custom log file]
[2024-04-07 11:24:21,940 : INFO : main : welcome to our custom log file]
[2024-04-09 09:31:51,889 : INFO : common : Loaded config from config\config.yaml successfully]
[2024-04-09 09:31:51,904 : INFO : common : Loaded config from params.yaml successfully]
[2024-04-09 09:31:51,906 : INFO : common : Created directory at artifacts]
[2024-04-09 09:39:47,357 : INFO : common : Loaded config from config\config.yaml successfully]
[2024-04-09 09:39:47,359 : INFO : common : Loaded config from params.yaml successfully]
[2024-04-09 09:39:47,361 : INFO : common : Created directory at artifacts]
[2024-04-09 09:42:03,589 : INFO : common : Loaded config from config\config.yaml successfully]
[2024-04-09 09:42:03,592 : INFO : common : Loaded config from params.yaml successfully]
[2024-04-09 09:42:03,593 : INFO : common : Created directory at artifacts]
[2024-04-09 09:42:18,840 : INFO : common : Loaded config from config\config.yaml successfully]
[2024-04-09 09:42:18,842 : INFO : common : Loaded config from params.yaml successfully]
[2024-04-09 09:42:18,844 : INFO : common : Created directory at artifacts]
[2024-04-09 09:43:54,566 : INFO : common : Loaded config from config\config.yaml successfully]
[2024-04-09 09:43:54,567 : INFO : common : Loaded config from params.yaml successfully]
[2024-04-09 09:43:54,568 : INFO : common : Created directory at artifacts]
[2024-04-09 09:43:54,569 : INFO : 1896639680 : Loading data from data loading completed]
[2024-04-09 09:47:25,884 : INFO : common : Loaded config from config\config.yaml successfully]
[2024-04-09 09:47:25,885 : INFO : common : Loaded config from params.yaml successfully]
[2024-04-09 09:47:25,886 : INFO : common : Created directory at artifacts]
[2024-04-09 09:47:25,887 : INFO : 3635039260 : Configuration loading completed]
[2024-04-09 09:47:25,889 : INFO : common : Created directory at artifacts/data_ingestion]
[2024-04-09 09:47:47,547 : INFO : common : Loaded config from config\config.yaml successfully]
[2024-04-09 09:47:47,549 : INFO : common : Loaded config from params.yaml successfully]
[2024-04-09 09:47:47,550 : INFO : common : Created directory at artifacts]
[2024-04-09 09:47:47,551 : INFO : 3635039260 : Configuration loading completed]
[2024-04-09 09:47:47,552 : INFO : common : Created directory at artifacts/data_ingestion]
[2024-04-09 09:47:47,553 : INFO : 2318707573 : Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing to artifacts/data_ingestion/data.zip]
[2024-04-09 09:48:07,818 : INFO : 2318707573 : Extracting data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing to artifacts/data_ingestion/data.zip]
[2024-04-09 09:48:08,415 : INFO : 2318707573 : File unzipped at artifacts/data_ingestion]
[2024-04-09 10:07:28,727 : INFO : main : >>>>>>>>>>>>>>>>>>>>>>>>> Stage Data Ingestion Stage Started <<<<<<<<<<<<<<<<<<<<<<<<]
[2024-04-09 10:07:28,728 : INFO : common : Loaded config from config\config.yaml successfully]
[2024-04-09 10:07:28,729 : INFO : common : Loaded config from params.yaml successfully]
[2024-04-09 10:07:28,730 : INFO : common : Created directory at artifacts]
[2024-04-09 10:07:28,730 : INFO : stage_01_data_ingestion : Configuration loading completed]
[2024-04-09 10:07:28,730 : INFO : common : Created directory at artifacts/data_ingestion]
[2024-04-09 10:07:28,731 : INFO : data_ingestion : Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing to artifacts/data_ingestion/data.zip]
[2024-04-09 10:07:48,062 : INFO : data_ingestion : Extracting data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing to artifacts/data_ingestion/data.zip]
[2024-04-09 10:07:48,593 : INFO : data_ingestion : File unzipped at artifacts/data_ingestion]
[2024-04-09 10:07:48,593 : INFO : stage_01_data_ingestion : Stage 1 data ingestion completed]
[2024-04-09 10:07:48,594 : INFO : main : >>>>>>>>>>>>>>>>>>>>>>>>> Stage Data Ingestion Stage Completed <<<<<<<<<<<<<<<<<<<<<<<<]
